BLDG_A,BLDG_B,BLDG_C,BLDG_D,BLDG_E,BLDG_F,CENTRAL
2167.08,389.775,979.17,1084.94,224.439,338.651,5184.05
2298.07,417.523,1049.11,1164.46,240.97,365.758,5535.9
2303.48,419.403,1057.22,1176.22,243.55,370.157,5570.03
2220.42,403.855,1019.51,1135.05,235.938,357.121,5371.89
2001.73,360.012,915.263,1021.53,213.05,319.67,4831.25
1891.96,336.203,864.428,970.77,201.731,302.042,4567.13
1822.08,326.104,841.942,876.512,199.09,289.467,4355.19
1731.05,307.644,798.347,833.288,189.599,274.008,4133.94
1607.38,289.818,746.71,733.354,180.602,252.519,3810.39
1548.51,275.109,726.265,706.901,177.139,245.025,3678.95
1443.81,252.008,681.809,670.065,168.423,231.964,3448.08
1331.12,225.884,634.81,632.83,158.235,217.467,3200.34
1313.63,220.437,627.201,637.796,157.065,216.441,3172.57
1489.99,262.349,715.535,708.358,179.338,246.583,3602.16
1491.76,264.821,712.614,702.72,179.741,244.503,3596.15
1442.75,256.014,688.885,681.73,175.615,236.308,3481.3
1375.68,240.537,664.578,667.142,171.625,230.022,3349.59
1255.37,204.384,614.234,661.585,160.868,218.353,3114.79
1406.1,239.678,672.311,730.394,170.138,236.77,3455.39
1625.24,290.468,767.524,815.843,190.87,267.009,3956.95
1672.32,301.788,784.167,831.336,194.144,271.924,4055.68
1846.36,338.465,866.586,909.814,212.908,301.759,4475.89
2262.7,422.418,1041.08,1174.98,249.695,367.424,5518.3
2680.22,513.291,1224.34,1349.99,290.421,428.195,6486.45
3006.09,581.871,1366.61,1489.48,320.431,475.021,7239.5
3116.65,602.423,1410.03,1528.01,327.499,487.593,7472.21
3027.81,580.261,1358.78,1465.92,312.784,466.589,7212.15
3076.19,586.044,1379.87,1487.79,315.014,473.611,7318.52
3084.61,584.101,1383.28,1491.32,313.723,474.713,7331.76
2990.74,561.586,1336.51,1440.6,301.69,457.601,7088.72
2820.88,531.22,1264.76,1273.7,287.347,425.063,6602.98
2902.31,546.354,1307.06,1313.3,296.606,440.479,6806.1
2865.18,551.085,1305.18,1270.56,299.889,438.82,6730.72
2809.09,532.991,1276.18,1244.4,294.581,428.347,6585.58
2699.71,506.602,1226.45,1200.13,283.499,411.173,6327.56
2566.85,476.646,1168.42,1148.69,270.242,391.242,6022.09
2432.74,445.156,1104.64,1099.08,255.331,369.315,5706.27
2313.73,423.179,1053.3,1036.67,244.866,349.96,5421.72
2169,393.487,986.795,970.25,230.532,326.332,5076.39
2034.47,365.811,923.741,911.18,217.333,304.658,4757.19
1767.78,308.416,802.189,803.962,190.964,264.594,4137.91
1521.59,247.266,690.396,737.643,166.266,232.051,3595.21
1563.49,262.349,695.647,771.972,168.329,233.817,3695.6
1667.1,291.701,751.76,820.425,180.867,254.948,3966.8
1765.63,314.865,800.134,857.203,191.37,271.894,4201.09
1744.25,311.487,787.218,840.949,188.386,267.11,4139.4
1894.05,342.116,845.145,942.091,199.934,289.883,4513.22
1930.84,350.41,866.405,962.364,204.176,298.101,4612.29
1863.16,335.396,838.713,935.767,196.874,289.441,4459.35
1747.04,310.616,790.428,887.987,185.757,273.93,4195.75
1657.15,293.415,749.249,841.941,177.11,259.579,3978.44
1755.29,320.383,781.364,856.535,186.4,267.16,4167.13
1763.37,325.632,777.702,843.264,186.877,263.856,4160.7
1725.52,317.642,762.981,832.555,184.285,259.744,4082.73
1577.55,290.175,703.284,732.438,172.872,236.491,3712.81
1514.99,277.798,676.131,705.539,167.208,227.456,3569.12
1459.26,271.14,664.073,642.894,165.801,220.477,3423.64
1418.46,260.124,655.586,631.921,165.08,219.093,3350.27
1413.63,259.81,656.172,636.684,167.28,220.637,3354.21
1447.69,267.196,672.756,657.078,172.5,226.596,3443.82
1587.59,295.462,731.191,723.536,186.488,246.352,3770.62
1749.78,333.008,806.95,783.854,205.132,270.601,4149.32
1869.65,357.929,859.741,833.435,217.281,287.592,4425.63
1792.94,339.16,818.857,799.688,207.06,272.49,4230.2
1754.2,326.869,804.741,795.679,203.474,269.089,4154.05
1619.19,285.055,746.899,784.017,189.054,254.855,3879.07
1726.49,308.387,785.183,843.426,193.736,266.529,4123.75
1942.79,358.096,877.785,932.988,214.516,297.961,4624.14
2005.24,373.01,908.664,958.566,219.639,309.009,4774.13
1983.13,366.079,900.709,950.459,215.879,306.74,4722.99
2130.11,391.813,957.861,1070.65,225.277,330.78,5106.49
2255.91,420.082,1009.12,1108.78,235.907,346.297,5376.1
2474.11,466.458,1105.13,1201.08,256.699,378.631,5882.11
2689.7,510.686,1205.45,1304.34,278.727,413.918,6402.83
2747.72,521.419,1228.71,1324.56,282.871,421.03,6526.31
2905.97,552.367,1301.97,1401.41,298.44,446.766,6906.91
2867.31,541.966,1280.36,1376.17,292.17,438.155,6796.12
2792.18,522.989,1245.07,1341.86,283.022,425.852,6610.97
2728.28,514.081,1226.97,1238.45,281.081,413.66,6402.52
2646.45,494.104,1189.89,1204.38,271.807,401.086,6207.72
2507.96,478.259,1137.91,1113.86,263.302,381.623,5882.92
2360.54,440.786,1062.56,1042.39,247.435,354.461,5508.18
2316.24,429.226,1047.41,1029.14,244.682,349.363,5416.06
2330.57,431.981,1059.94,1040.94,248.143,353.341,5464.91
2248.85,411.526,1020.36,1014.19,238.576,339.488,5272.99
2104.7,379.292,955.01,945.875,222.874,315.778,4923.53
2051.65,365.593,929.574,922.462,216.395,306.946,4792.62
2030.8,359.459,922.884,918.522,214.834,305.784,4752.28
1893.36,327.682,864.702,870.1,201.97,287.877,4445.69
1682.08,271.846,768.841,817.538,179.675,260.113,3980.09
1652.84,270.587,738.957,820.894,172.538,250.914,3906.73
1835.89,312.522,831.743,900.536,191.813,283.851,4356.35
1992.5,347.484,909.931,965.799,209.656,311.523,4736.9
1932.14,336.185,884.419,939.606,204.399,303.503,4600.25
1917.11,331.461,867.612,982.774,198.918,301.701,4599.58
1958.47,344.985,882.824,986.181,203.109,305.427,4681
1997.25,356.776,893.688,989.494,206.006,307.585,4750.8
2002.58,360.736,894.624,985.5,207.041,307.356,4757.84
2064.47,376.107,922.551,1011.62,214.263,316.925,4905.94
2183.72,403.446,975.543,1063.14,227.152,334.923,5187.92
2414.83,454.366,1077.8,1164.3,251.231,369.565,5732.09
2528.35,478.656,1124,1209.22,261.914,384.253,5986.4
2518.38,482.359,1123.94,1128.98,264.06,377.071,5894.78
2644.08,506.525,1182.04,1186.48,276.41,396.993,6192.53
2698.69,521.293,1207.96,1190.64,283.141,404.84,6306.57
2758.5,527.037,1230.55,1211.72,288.375,410.742,6426.92
2743.96,521.572,1223.94,1209.63,286.173,407.232,6392.51
2806.97,533.285,1253.66,1241.73,292.523,416.881,6545.05
2794.46,526.981,1243.09,1243.39,289.024,413.027,6509.97
2787.09,523.626,1239.45,1243.13,287.615,411.702,6492.6
2668.41,496.723,1183.2,1193.32,274.172,392.223,6208.05
2638.24,489.52,1168.84,1181.98,271.135,387.266,6136.98
2545.92,468.08,1127.73,1149.86,262.604,373.769,5927.97
2292.33,408.682,1015.35,1061.69,237.999,337.828,5353.88
2356.56,424.146,1031.15,1166.27,240.489,350.455,5569.07
2450.68,446.29,1075.98,1200.37,248.267,365.996,5787.58
2622.94,481.701,1159.79,1280.54,266.06,396.274,6207.31
2832.96,524.11,1262.92,1390.28,288.944,434.363,6733.57
3117.7,584.147,1392.03,1514.8,317.096,478.427,7404.2
3393.16,640.728,1516.31,1636.2,343.719,520.664,8050.78
3501.49,661.861,1559.77,1670.58,351.512,533.506,8278.72
3542.78,667.186,1576.56,1685.46,353.492,538.593,8364.07
3538.58,664.144,1570.19,1673.78,350.716,535.044,8332.45
3526.85,659.825,1561.73,1661.58,347.788,531.207,8288.98
3492.48,651.663,1541.64,1635.98,342.615,523.006,8187.39
3474.24,645.929,1533.46,1629.72,340.485,520.467,8144.29
3356.6,618.297,1484.24,1585.35,329.175,504.748,7878.41
3215.11,586.881,1416.58,1513.12,313.459,480.484,7525.64
3173.49,595.738,1404.74,1492.51,313.955,477.41,7457.85
3231.85,606.761,1433.22,1527.2,322.919,487.672,7609.62
3161.59,589.574,1400.09,1496.83,316.161,475.706,7439.95
3180.66,591.199,1411.95,1516.78,319.342,480.533,7500.47
3343.09,623.328,1490.36,1605.1,337.827,508.673,7908.38
3398.57,632.937,1516.12,1634.21,343.774,517.247,8042.86
3532.07,658.189,1582.33,1710.31,358.738,541.436,8383.07
3512.92,651.901,1573.84,1705.65,356.589,538.646,8339.55
3308.74,605.936,1477.71,1612.62,334.765,505.317,7845.09
3045.65,544.282,1359.67,1510.24,308.586,466.997,7235.43
